,moderator,id_request,request_time,start_time,finish_time,team,before_1_resp_min,solve_prblm_min,total_requests_by_mod,hour_of_day,date
10051,180,185073,2020-11-23 14:26:28,2020-11-23 19:52:57,2020-11-23 19:53:40,wholesale,326.483,0.717,1349,14,2020-11-23
10052,180,185075,2020-11-23 14:28:00,2020-11-23 19:53:42,2020-11-23 19:54:38,wholesale,325.7,0.933,1349,14,2020-11-23
10053,180,185076,2020-11-23 14:30:51,2020-11-23 19:54:39,2020-11-23 20:05:00,wholesale,323.8,10.35,1349,14,2020-11-23
10058,180,185082,2020-11-23 14:40:20,2020-11-23 20:05:01,2020-11-23 20:06:18,wholesale,324.683,1.283,1349,14,2020-11-23
10044,180,185059,2020-11-23 14:12:00,2020-11-23 20:06:20,2020-11-23 20:09:55,wholesale,354.333,3.583,1349,14,2020-11-23
10061,180,185086,2020-11-23 14:44:39,2020-11-23 20:09:57,2020-11-23 20:11:06,wholesale,325.3,1.15,1349,14,2020-11-23
10062,180,185087,2020-11-23 14:44:59,2020-11-23 20:11:07,2020-11-23 20:12:04,wholesale,326.133,0.95,1349,14,2020-11-23
10065,180,185090,2020-11-23 14:47:28,2020-11-23 20:12:05,2020-11-23 20:13:57,wholesale,324.617,1.867,1349,14,2020-11-23
10066,180,185091,2020-11-23 14:50:06,2020-11-23 20:13:57,2020-11-23 20:15:23,wholesale,323.85,1.433,1349,14,2020-11-23
10068,180,185093,2020-11-23 14:51:56,2020-11-23 20:15:24,2020-11-23 20:16:17,wholesale,323.467,0.883,1349,14,2020-11-23
10071,180,185096,2020-11-23 14:56:18,2020-11-23 20:16:18,2020-11-23 20:17:17,wholesale,320.0,0.983,1349,14,2020-11-23
10077,180,185102,2020-11-23 15:10:54,2020-11-23 20:17:18,2020-11-23 20:18:01,wholesale,306.4,0.717,1349,15,2020-11-23
10080,180,185107,2020-11-23 15:22:04,2020-11-23 20:18:02,2020-11-23 20:19:15,wholesale,295.967,1.217,1349,15,2020-11-23
10095,180,185136,2020-11-23 16:53:53,2020-11-23 20:19:17,2020-11-23 20:22:57,wholesale,205.4,3.667,1349,16,2020-11-23
10100,180,185152,2020-11-23 17:22:50,2020-11-23 20:26:30,2020-11-23 20:26:53,wholesale,183.667,0.383,1349,17,2020-11-23
10102,180,185155,2020-11-23 17:27:44,2020-11-23 20:26:54,2020-11-23 20:27:17,wholesale,179.167,0.383,1349,17,2020-11-23
10104,180,185164,2020-11-23 17:43:51,2020-11-23 20:27:18,2020-11-23 20:28:35,wholesale,163.45,1.283,1349,17,2020-11-23
10119,180,185193,2020-11-23 19:34:54,2020-11-23 20:28:36,2020-11-23 20:32:59,wholesale,53.7,4.383,1349,19,2020-11-23
10121,180,185196,2020-11-23 19:38:09,2020-11-23 20:33:01,2020-11-23 20:34:01,wholesale,54.867,1.0,1349,19,2020-11-23
10123,180,185198,2020-11-23 19:42:50,2020-11-23 20:34:02,2020-11-23 20:34:54,wholesale,51.2,0.867,1349,19,2020-11-23
10124,180,185199,2020-11-23 19:43:58,2020-11-23 20:34:56,2020-11-23 20:35:19,wholesale,50.967,0.383,1349,19,2020-11-23
10125,180,185200,2020-11-23 19:44:31,2020-11-23 20:35:20,2020-11-23 20:35:42,wholesale,50.817,0.367,1349,19,2020-11-23
10127,180,185202,2020-11-23 19:46:07,2020-11-23 20:35:43,2020-11-23 20:36:35,wholesale,49.6,0.867,1349,19,2020-11-23
10129,180,185204,2020-11-23 19:47:31,2020-11-23 20:36:36,2020-11-23 20:37:41,wholesale,49.083,1.083,1349,19,2020-11-23
10130,180,185205,2020-11-23 19:48:14,2020-11-23 20:37:43,2020-11-23 20:38:26,wholesale,49.483,0.717,1349,19,2020-11-23
10131,180,185206,2020-11-23 19:49:26,2020-11-23 20:38:27,2020-11-23 20:41:59,wholesale,49.017,3.533,1349,19,2020-11-23
10031,180,185039,2020-11-23 13:48:07,2020-11-23 20:42:08,2020-11-23 20:47:17,wholesale,414.017,5.15,1349,13,2020-11-23
10152,180,185234,2020-11-23 20:48:19,2020-11-23 20:52:21,2020-11-23 20:52:45,wholesale,4.033,0.4,1349,20,2020-11-23
12013,180,187552,2020-11-25 17:43:35,2020-11-26 19:03:23,2020-11-26 19:04:56,wholesale,1519.8,1.55,1349,17,2020-11-26
12225,180,187895,2020-11-26 02:16:11,2020-11-26 19:04:57,2020-11-26 19:08:06,wholesale,1008.767,3.15,1349,2,2020-11-26
12230,180,187900,2020-11-26 02:28:24,2020-11-26 19:08:07,2020-11-26 19:14:33,wholesale,999.717,6.433,1349,2,2020-11-26
12231,180,187901,2020-11-26 02:32:24,2020-11-26 19:32:12,2020-11-26 19:43:18,wholesale,1019.8,11.1,1349,2,2020-11-26
12232,180,187902,2020-11-26 02:32:48,2020-11-26 19:43:19,2020-11-26 19:48:58,wholesale,1030.517,5.65,1349,2,2020-11-26
12233,180,187904,2020-11-26 02:36:04,2020-11-26 19:49:02,2020-11-26 19:51:40,wholesale,1032.967,2.633,1349,2,2020-11-26
12236,180,187911,2020-11-26 02:40:00,2020-11-26 19:51:41,2020-11-26 19:52:31,wholesale,1031.683,0.833,1349,2,2020-11-26
12242,180,187917,2020-11-26 02:44:11,2020-11-26 19:52:32,2020-11-26 19:53:49,wholesale,1028.35,1.283,1349,2,2020-11-26
12247,180,187923,2020-11-26 02:48:29,2020-11-26 19:53:51,2020-11-26 19:57:56,wholesale,1025.367,4.083,1349,2,2020-11-26
12260,180,187939,2020-11-26 03:01:59,2020-11-26 19:57:58,2020-11-26 20:00:23,wholesale,1015.983,2.417,1349,3,2020-11-26
12261,180,187942,2020-11-26 03:03:43,2020-11-26 20:00:24,2020-11-26 20:02:18,wholesale,1016.683,1.9,1349,3,2020-11-26
12283,180,187981,2020-11-26 03:31:43,2020-11-26 20:02:19,2020-11-26 20:05:27,wholesale,990.6,3.133,1349,3,2020-11-26
11867,180,187295,2020-11-25 13:58:46,2020-11-26 20:05:28,2020-11-26 20:09:39,wholesale,1806.7,4.183,1349,13,2020-11-26
12569,180,188365,2020-11-26 12:12:21,2020-11-26 20:09:40,2020-11-26 20:18:37,wholesale,477.317,8.95,1349,12,2020-11-26
12626,180,188449,2020-11-26 14:07:45,2020-11-26 20:18:39,2020-11-26 20:24:16,wholesale,370.9,5.617,1349,14,2020-11-26
12678,180,188517,2020-11-26 14:45:15,2020-11-26 20:24:18,2020-11-26 20:25:15,wholesale,339.05,0.95,1349,14,2020-11-26
11691,180,187088,2020-11-25 11:45:46,2020-11-26 20:25:48,2020-11-26 20:26:25,wholesale,1960.033,0.617,1349,11,2020-11-26
11698,180,187097,2020-11-25 11:50:47,2020-11-26 20:26:26,2020-11-26 20:26:48,wholesale,1955.65,0.367,1349,11,2020-11-26
11699,180,187098,2020-11-25 11:52:27,2020-11-26 20:26:49,2020-11-26 20:28:19,wholesale,1954.367,1.5,1349,11,2020-11-26
11703,180,187102,2020-11-25 11:55:13,2020-11-26 20:28:20,2020-11-26 20:33:02,wholesale,1953.117,4.7,1349,11,2020-11-26
11727,180,187130,2020-11-25 12:14:53,2020-11-26 20:33:49,2020-11-26 20:35:35,wholesale,1938.933,1.767,1349,12,2020-11-26
11724,180,187127,2020-11-25 12:10:29,2020-11-26 20:35:36,2020-11-26 20:36:56,wholesale,1945.117,1.333,1349,12,2020-11-26
11735,180,187139,2020-11-25 12:19:36,2020-11-26 20:36:58,2020-11-26 20:39:23,wholesale,1937.367,2.417,1349,12,2020-11-26
11740,180,187144,2020-11-25 12:24:51,2020-11-26 20:39:24,2020-11-26 20:40:09,wholesale,1934.55,0.75,1349,12,2020-11-26
11742,180,187146,2020-11-25 12:26:35,2020-11-26 20:40:10,2020-11-26 20:45:26,wholesale,1933.583,5.267,1349,12,2020-11-26
11756,180,187160,2020-11-25 12:36:05,2020-11-26 20:45:27,2020-11-26 20:46:37,wholesale,1929.367,1.167,1349,12,2020-11-26
11758,180,187163,2020-11-25 12:37:29,2020-11-26 20:46:38,2020-11-26 20:47:33,wholesale,1929.15,0.917,1349,12,2020-11-26
11765,180,187170,2020-11-25 12:41:51,2020-11-26 20:47:34,2020-11-26 20:52:27,wholesale,1925.717,4.883,1349,12,2020-11-26
11787,180,187197,2020-11-25 13:05:14,2020-11-26 20:55:10,2020-11-26 20:55:53,wholesale,1909.933,0.717,1349,13,2020-11-26
11789,180,187203,2020-11-25 13:09:25,2020-11-26 20:56:34,2020-11-26 20:58:27,wholesale,1907.15,1.883,1349,13,2020-11-26
11790,180,187204,2020-11-25 13:10:35,2020-11-26 20:58:28,2020-11-26 21:01:10,wholesale,1907.883,2.7,1349,13,2020-11-26
11754,180,187158,2020-11-25 12:35:10,2020-11-26 21:01:11,2020-11-26 21:11:51,wholesale,1946.017,10.667,1349,12,2020-11-26
11824,180,187244,2020-11-25 13:30:33,2020-11-26 21:14:46,2020-11-26 21:19:20,wholesale,1904.217,4.567,1349,13,2020-11-26
11841,180,187265,2020-11-25 13:38:57,2020-11-26 21:19:21,2020-11-26 21:20:33,wholesale,1900.4,1.2,1349,13,2020-11-26
11788,180,187202,2020-11-25 13:09:04,2020-11-26 21:20:34,2020-11-26 21:23:38,wholesale,1931.5,3.067,1349,13,2020-11-26
11842,180,187266,2020-11-25 13:39:05,2020-11-26 21:23:39,2020-11-26 21:23:41,wholesale,1904.567,0.033,1349,13,2020-11-26
11844,180,187269,2020-11-25 13:42:04,2020-11-26 21:23:42,2020-11-26 21:40:13,wholesale,1901.633,16.517,1349,13,2020-11-26
11863,180,187291,2020-11-25 13:57:27,2020-11-26 21:40:14,2020-11-26 21:40:28,wholesale,1902.783,0.233,1349,13,2020-11-26
11865,180,187293,2020-11-25 13:57:56,2020-11-26 21:40:29,2020-11-26 21:40:43,wholesale,1902.55,0.233,1349,13,2020-11-26
11870,180,187299,2020-11-25 14:02:07,2020-11-26 21:40:44,2020-11-26 21:42:09,wholesale,1898.617,1.417,1349,14,2020-11-26
11874,180,187303,2020-11-25 14:05:21,2020-11-26 21:42:10,2020-11-26 21:44:05,wholesale,1896.817,1.917,1349,14,2020-11-26
11877,180,187307,2020-11-25 14:12:57,2020-11-26 21:44:06,2020-11-26 21:48:34,wholesale,1891.15,4.467,1349,14,2020-11-26
11883,180,187313,2020-11-25 14:16:36,2020-11-26 21:48:35,2020-11-26 21:53:58,wholesale,1891.983,5.383,1349,14,2020-11-26
11889,180,187320,2020-11-25 14:20:36,2020-11-26 21:54:01,2020-11-26 21:54:56,wholesale,1893.417,0.917,1349,14,2020-11-26
11890,180,187321,2020-11-25 14:21:15,2020-11-26 21:54:59,2020-11-26 21:55:32,wholesale,1893.733,0.55,1349,14,2020-11-26
11886,180,187317,2020-11-25 14:19:27,2020-11-26 21:55:33,2020-11-26 22:02:49,wholesale,1896.1,7.267,1349,14,2020-11-26
11862,180,187290,2020-11-25 13:56:49,2020-11-26 22:02:50,2020-11-26 22:04:34,wholesale,1926.017,1.733,1349,13,2020-11-26
11891,180,187323,2020-11-25 14:21:56,2020-11-26 22:04:36,2020-11-26 22:05:13,wholesale,1902.667,0.617,1349,14,2020-11-26
11893,180,187325,2020-11-25 14:22:27,2020-11-26 22:05:21,2020-11-26 22:06:09,wholesale,1902.9,0.8,1349,14,2020-11-26
11892,180,187324,2020-11-25 14:22:23,2020-11-26 22:06:10,2020-11-26 22:08:24,wholesale,1903.783,2.233,1349,14,2020-11-26
11925,180,187377,2020-11-25 14:44:02,2020-11-26 22:36:57,2020-11-26 22:42:47,wholesale,1912.917,5.833,1349,14,2020-11-26
11938,180,187394,2020-11-25 14:52:47,2020-11-26 22:42:49,2020-11-26 22:44:05,wholesale,1910.033,1.267,1349,14,2020-11-26
11941,180,187398,2020-11-25 14:54:05,2020-11-26 22:44:07,2020-11-26 22:45:01,wholesale,1910.033,0.9,1349,14,2020-11-26
11942,180,187399,2020-11-25 14:54:09,2020-11-26 22:45:02,2020-11-26 22:46:32,wholesale,1910.883,1.5,1349,14,2020-11-26
11944,180,187402,2020-11-25 14:55:44,2020-11-26 22:46:32,2020-11-26 22:48:13,wholesale,1910.8,1.683,1349,14,2020-11-26
11945,180,187403,2020-11-25 14:56:11,2020-11-26 22:48:14,2020-11-26 22:48:53,wholesale,1912.05,0.65,1349,14,2020-11-26
11948,180,187406,2020-11-25 14:57:20,2020-11-26 22:48:54,2020-11-26 22:50:01,wholesale,1911.567,1.117,1349,14,2020-11-26
11951,180,187410,2020-11-25 15:00:12,2020-11-26 22:50:02,2020-11-26 22:51:45,wholesale,1909.833,1.717,1349,15,2020-11-26
11953,180,187412,2020-11-25 15:00:36,2020-11-26 22:51:45,2020-11-26 22:51:59,wholesale,1911.15,0.233,1349,15,2020-11-26
11954,180,187413,2020-11-25 15:01:10,2020-11-26 22:52:00,2020-11-26 22:57:45,wholesale,1910.833,5.75,1349,15,2020-11-26
11968,180,187430,2020-11-25 15:18:47,2020-11-26 22:57:46,2020-11-26 22:58:06,wholesale,1898.983,0.333,1349,15,2020-11-26
11970,180,187435,2020-11-25 15:25:13,2020-11-26 22:58:06,2020-11-26 22:59:10,wholesale,1892.883,1.067,1349,15,2020-11-26
11973,180,187439,2020-11-25 15:27:36,2020-11-26 22:59:11,2020-11-26 23:00:04,wholesale,1891.583,0.883,1349,15,2020-11-26
13207,180,189297,2020-11-27 07:54:38,2020-11-27 19:11:58,2020-11-27 19:28:22,wholesale,677.333,16.4,1349,7,2020-11-27
13219,180,189310,2020-11-27 08:00:22,2020-11-27 19:28:26,2020-11-27 19:34:00,wholesale,688.067,5.567,1349,8,2020-11-27
